club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Sochaux,Rabiu Afolabi,25.0,Centre-Back,Central_EU,2.00m,in,Summer,2,Ligue 1,2005,2005/2006
FC Sochaux,Miranda,20.0,Centre-Back,South America,2.00m,in,Summer,2,Ligue 1,2005,2005/2006
FC Sochaux,Pape Sow,19.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Sochaux,Philippe Brunel,32.0,Left Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Sochaux,Mourad Meghni,21.0,Attacking Midfield,Italy,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Sochaux,Arnaud Bühler,20.0,Centre-Back,Uk,?,in,Summer,0.01,Ligue 1,2005,2005/2006
R. Strasbourg,Haykel Gmamdia,23.0,Centre-Forward,Africa Sports,1.50m,in,Summer,"1,5",Ligue 1,2005,2005/2006
R. Strasbourg,Amara Diané,22.0,Right Winger,France,1.30m,in,Summer,"1,3",Ligue 1,2005,2005/2006
R. Strasbourg,Arthur Boka,22.0,Left-Back,Belgium,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
R. Strasbourg,Hosny Abd Rabo,20.0,Central Midfield,Africa Sports,800Th.,in,Summer,"0,8",Ligue 1,2005,2005/2006
R. Strasbourg,Pascal Johansen,26.0,Central Midfield,Marseille,150Th.,in,Summer,"0,15",Ligue 1,2005,2005/2006
R. Strasbourg,Pontus Farnerud,25.0,Central Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
R. Strasbourg,Nicolas Puydebois,24.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Bakari Koné,23.0,Right Winger,France,2.50m,in,Summer,"2,5",Ligue 1,2005,2005/2006
OGC Nice,Souleymane Camara,22.0,Right Winger,Monaco,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
OGC Nice,Anthar Yahia,23.0,Centre-Back,France,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
OGC Nice,Jérémie Moreau,24.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Rod Fanni,23.0,Right-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Cyril Rool,30.0,Left-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Florian Boucansaud,24.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Bill Tchato,30.0,Left-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
OGC Nice,Mamadou Bagayoko,26.0,Centre-Forward,FC Nantes,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Toulouse,Jérémy Mathieu,21.0,Left-Back,FC Sochaux,5.00m,in,Summer,5,Ligue 1,2005,2005/2006
Toulouse,Bryan Bergougnoux,22.0,Attacking Midfield,Olympique Lyon,3.40m,in,Summer,"3,4",Ligue 1,2005,2005/2006
Toulouse,Santos,26.0,Centre-Forward,FC Sochaux,3.00m,in,Summer,3,Ligue 1,2005,2005/2006
Toulouse,Fodé Mansare,23.0,Left Winger,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Toulouse,Laurent Batlles,29.0,Central Midfield,Marseille,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Toulouse,Yacine Abdessadki,24.0,Right Winger,R. Strasbourg,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
AC Ajaccio,Romain Rocchi,23.0,Defensive Midfield,Paris SG,500Th.,in,Summer,"0,5",Ligue 1,2005,2005/2006
AC Ajaccio,Antônio Carlos,22.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Simon Carmignani,22.0,Right-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Giany Joinville,21.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Kamel Chafni,23.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Laurent Merlin,20.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Christophe Bastien,29.0,Right Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Matthieu Scarpelli,23.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Jean-Jacques Mandrichi,21.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Frédéric Danjou,30.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Stéphane Ziani,33.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Kaba Diawara,29.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Rafik Saïfi,30.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AC Ajaccio,Daouda Jabi,24.0,Right-Back,Lens,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
G. Bordeaux,Edixon Perea,21.0,Centre-Forward,South America,2.50m,in,Summer,"2,5",Ligue 1,2005,2005/2006
G. Bordeaux,Henrique,22.0,Centre-Back,South America,750Th.,in,Summer,"0,75",Ligue 1,2005,2005/2006
G. Bordeaux,Alejandro Alonso,23.0,Right Midfield,South America,750Th.,in,Summer,"0,75",Ligue 1,2005,2005/2006
G. Bordeaux,Denílson,27.0,Left Winger,Real Betis,480Th.,in,Summer,"0,48",Ligue 1,2005,2005/2006
G. Bordeaux,Vladimir Smicer,32.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
G. Bordeaux,Laurent Leroy,29.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
G. Bordeaux,Paulo Costa,25.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
G. Bordeaux,Vasco Fernandes,18.0,Centre-Back,Portugal,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
G. Bordeaux,Bruno Cheyrou,27.0,Central Midfield,Uk,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
G. Bordeaux,Anicet Adjamossi,21.0,Right-Back,France,?,in,Summer,0.01,Ligue 1,2005,2005/2006
G. Bordeaux,Fernando,24.0,Defensive Midfield,Siena,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Metz,Marcin Zewlakow,29.0,Centre-Forward,Belgium,600Th.,in,Summer,"0,6",Ligue 1,2005,2005/2006
FC Metz,Jung-hwan Ahn,29.0,Second Striker,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Metz,Cheriffe Maman-Touré,27.0,midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Metz,Abdelnasser Ouadah,29.0,Left Winger,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
